Date,Open,Close
2018-01-10,248.072998,250.518005
2018-01-11,251.522003,229.365997
2018-01-12,229.787003,236.856003
2018-01-13,236.882004,259.192993
2018-01-14,260.57901,238.675003
2018-01-15,237.289001,232.774002
2018-01-16,232.817001,188.330994
2018-01-17,190.145004,186.516006
2018-01-18,186.949005,192.837006
2018-01-19,191.192001,192.964005
2018-01-20,194.378006,211.018005
2018-01-21,211.235001,190.421005
2018-01-22,191.789993,180.007996
2018-01-23,180.279007,177.807007
2018-01-24,178.425003,179.987
2018-01-25,181.563004,180.272003
2018-01-26,179.819,176.733994
2018-01-27,176.660995,180.886002
2018-01-28,181.421005,193.865005
2018-01-29,193.751007,181.664001
2018-01-30,181.445007,165.276001
2018-01-31,165.296005,163.350998
2018-02-01,163.682007,142.296997
2018-02-02,142.561996,131.378998
2018-02-03,131.401001,160.25
2018-02-04,160.380997,148.024994
2018-02-05,148.727005,125.330002
2018-02-06,127.521004,142.990997
2018-02-07,142.481995,138.203003
2018-02-08,138.335999,149.466003
2018-02-09,149.729996,163.949997
2018-02-10,163.488007,155.593002
2018-02-11,155.391998,148.990005
2018-02-12,150.104004,161.565994
2018-02-13,161.774994,159.554001
2018-02-14,159.578995,213.358994
2018-02-15,212.347,225.425995
2018-02-16,225.5,230.123993
2018-02-17,229.501999,229.464996
2018-02-18,230.509003,215.735992
2018-02-19,215.414993,223.057007
2018-02-20,223.087006,232.850998
2018-02-21,230.947998,213.352005
2018-02-22,212.841003,195.307999
2018-02-23,194.192993,209.309006
2018-02-24,210.636993,209.421997
2018-02-25,208.132004,220.475006
2018-02-26,222.138,220.962006
2018-02-27,221.710007,216.598999
2018-02-28,217.279007,202.895004
2018-03-01,203.119003,209.75
2018-03-02,209.554993,212.556
2018-03-03,213.837997,210.643005
2018-03-04,210.235992,213.798996
2018-03-05,213.740005,211.175003
2018-03-06,210.513,196.600998
2018-03-07,196.826004,185.839005
2018-03-08,185.697998,176.511002
2018-03-09,176.481003,187.167999
2018-03-10,188.113007,177.731995
2018-03-11,177.513,188.945999
2018-03-12,189.016006,178.233994
2018-03-13,177.597,175.781998
2018-03-14,175.936996,161.100998
2018-03-15,161.201996,164.475998
2018-03-16,164.817001,165.449997
2018-03-17,165.188004,152.968994
2018-03-18,152.537003,154.074005
2018-03-19,155.475006,161.141998
2018-03-20,161.520996,168.817001
2018-03-21,169.557007,169.052002
2018-03-22,168.723007,163.671997
2018-03-23,163.576996,167.832001
2018-03-24,168.533997,159.630997
2018-03-25,158.863998,160.084
2018-03-26,160.164993,149.220993
2018-03-27,148.960999,135.779007
2018-03-28,135.490005,131.746994
2018-03-29,131.925003,114.679001
2018-03-30,114.804001,118.598
2018-03-31,118.637001,116.607002
2018-04-01,116.904999,115.222
2018-04-02,115.237,119.306
2018-04-03,119.509003,134.470001
2018-04-04,133.908005,118.412003
2018-04-05,118.209,119.130997
2018-04-06,118.815002,113.154999
2018-04-07,113.135002,116.260002
2018-04-08,116.291,117.670998
2018-04-09,117.782997,114.989998
2018-04-10,115.212997,114.263
2018-04-11,114.289001,118.291
2018-04-12,118.292,129.335007
2018-04-13,129.274002,125.353996
2018-04-14,125.223999,126.293999
2018-04-15,126.668999,132.044998
2018-04-16,131.968002,128.335007
2018-04-17,128.710007,132.927994
2018-04-18,132.376999,139.996994
2018-04-19,140.041,146.300003
2018-04-20,146.501007,155.537003
2018-04-21,155.684998,148.934006
2018-04-22,148.608002,146.774002
2018-04-23,146.671997,152.251999
2018-04-24,152.574997,165.781006
2018-04-25,165.087006,144.764008
